gene_id,ERR4198627,ERR4198629,ERR4198630,ERR4198632,ERR4198634,ERR4198636,ERR4198638,ERR4198640,ERR4198642
ENSG00000236266.1|ENSG00000236266,0,0,0,0,0,0,0,0,0
ENSG00000049247.14|UTS2,0,0,0,2,12,29,0,0,0
ENSG00000049249.9|TNFRSF9,15,8,5,12,6,29,0,6,12
ENSG00000270330.1|ENSG00000270330,0,0,3,1,0,11,0,0,0
ENSG00000200344.1|Y_RNA,0,0,0,0,0,1,0,0,0
ENSG00000116285.13|ERRFI1,5355,2052,3284,1742,1542,2922,379,531,871
ENSG00000238290.1|ENSG00000238290,0,2,10,35,9,36,4,7,19
ENSG00000271746.1|ENSG00000271746,39,15,13,28,24,102,3,5,7
ENSG00000231868.1|ENSG00000231868,1,1,0,3,2,3,0,2,1
ENSG00000162408.11|NOL9,6441,2908,5154,1666,1257,6121,1363,1536,1747
ENSG00000162413.17|KLHL21,2612,1210,1433,721,547,2846,579,555,584
ENSG00000237436.1|CAMTA1-DT,14,15,15,15,17,49,4,0,6
ENSG00000207056.1|RNU1-8P,1,1,0,0,0,2,0,1,1
ENSG00000237402.1|CAMTA1-IT1,21,6,7,6,3,20,0,21,5
ENSG00000270171.1|ENSG00000270171,29,18,29,13,21,149,25,62,69
ENSG00000270035.1|ENSG00000270035,18,13,18,7,11,82,19,37,24
ENSG00000269978.1|ENSG00000269978,26,12,15,9,14,103,9,32,19
ENSG00000049245.13|VAMP3,6075,3116,4848,948,927,2596,564,828,804
ENSG00000269925.1|ENSG00000269925,43,37,50,34,22,62,21,27,7
ENSG00000116288.13|PARK7,16677,4301,7302,2238,2323,8937,1442,1024,2439
ENSG00000284747.1|ENSG00000284747,75,28,31,28,8,40,19,37,11
ENSG00000284716.1|ENSG00000284716,6,0,0,0,0,2,0,12,0
ENSG00000232848.1|ENSG00000232848,1,0,1,4,0,2,0,0,0
ENSG00000175262.14|C1orf127,6,6,0,5,0,6,0,0,0
ENSG00000142599.19|RERE,13258,4970,7033,4491,4545,17475,2475,6180,6474
ENSG00000232912.6|RERE-AS1,0,0,0,0,0,0,0,0,0
ENSG00000270282.1|ENSG00000270282,0,0,0,0,0,0,0,0,0
ENSG00000226545.1|ENSG00000226545,0,0,0,1,0,0,0,0,0
ENSG00000229716.2|RPL23AP19,0,0,0,0,0,0,0,0,0
